PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES,NAME SOURCE,ACCESSION,SEQUENCE TYPE,SEQUENCE SOURCE,BRAZILIAN MAMMAL,AMAZ,MATL,CERR,CAAT,PANT,PAMP,MARI
Chordata,Amphibia,Caudata,Plethodontidae,Thorius,Thorius n.,GB,AY728224.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,Desmognathus wrighti,GB,AY728225.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Nototriton,Nototriton abscondens,GB,AY728229.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus,Gyrinophilus porphyriticus,GB,AY728230.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Hemidactylium,Hemidactylium scutatum,GB,AY728231.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,GB,AY728233.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Hydromantes,Hydromantes brunus,GB,AY728234.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon gigas,GB,AY762971.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Siluriformes,Cranoglanididae,Cranoglanis,Cranoglanis bouderius,GB,AY898626.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Anura,Dicroglossidae,Limnonectes,Limnonectes fragilis,GB,AY899241.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Gymnophiona,Herpelidae,Boulengerula,Boulengerula taitana,GB,AY954504.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Gymnophiona,Dermophiidae,Geotrypetes,Geotrypetes seraphini,GB,AY954505.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Gymnophiona,Siphonopidae,Siphonops,Siphonops annulatus,GB,AY954506.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Arthropoda,Insecta,Hymenoptera,Formicidae,Pseudomyrmex,Pseudomyrmex feralis,GB,BK010379.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Arthropoda,Insecta,Hymenoptera,Formicidae,Sericomyrmex,Sericomyrmex mayri,GB,BK012123.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Arthropoda,Insecta,Hymenoptera,Formicidae,Acanthoponera,Acanthoponera minor,GB,BK012239.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Arthropoda,Insecta,Hymenoptera,Formicidae,Acromyrmex,Acromyrmex lundi,GB,BK012454.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Arthropoda,Insecta,Hymenoptera,Formicidae,Stenamma,Stenamma muralla,GB,BK012562.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Arthropoda,Insecta,Hymenoptera,Formicidae,Acropyga,Acropyga myops,GB,BK012564.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Arthropoda,Insecta,Hymenoptera,Formicidae,Aphaenogaster,Aphaenogaster occidentalis,GB,BK012623.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Arthropoda,Insecta,Hymenoptera,Formicidae,Hylomyrma,Hylomyrma sp.,GB,BK012682.1,mitogenome,GB,other class,0,0,0,0,0,0,0
